objectid,filename,title,format,date,subject,creator,description,origin,use
coll001,ggdcrossstitchbedspread1.jpg,Floral Cross-Stitch Bedspread,image/jpeg,1993,cross-stitch; quilting; hand-stitching,"Dye,Elaine",A queen-size cross-stitched bedspread with a repeating floral pattern and a hand-stitched inscription.,original,bedspread
coll002,ggdcrossstitchblanket1.jpg,"Cross-Stitch Blanket with Animals, Flowers, and Text",image/jpeg,1970,cross-stitch,"Dye,Elaine","A twin-size cross-stitched blanket with Bambi and friends, flowers, and the name Sarah. Made shortly after Sarah was born.",pattern,blanket
coll003,ggdembroidery1.jpg,Large Embroidered Bouquet ,image/jpeg,1986,embroidery,"Dye,Elaine",A large embroidered floral bouquet in a handmade wood frame with a written inscription. Given as a Christmas gift in 1986.,original,decor
coll004,ggdcrossstitch1.jpg,Cross-Stitch Law Degree Commemoration,image/jpeg,1996,cross-stitch,"Dye,Elaine","A cross-stitched image of scales and a quill pen with ink, commemorating Sarah Arnold's 1996 graduation from The Maurer School of Law at Indiana University.",original,commemoration
coll005,ggdeasterrabbit1.jpg,Stuffed Easter Rabbit and Egg,image/jpeg,2000,stuffed toy,"Dye,Elaine",A stuffed Easter Rabbit and Easter egg toy.,original,toy
coll006,gkchristmasbear1.jpg,Stuffed Christmas Bear,image/jpeg,2003,stuffed toy,"Fischer, Kathleen",A stuffed Christmas bear toy.,original,toy
coll007,gkraggedyanneandandy1.jpg,Raggedy Anne and Andy Toys,image/jpeg,2006,stuffed toy,"Fischer, Kathleen",A pair of stuffed Raggedy Anne and Andy toys.,pattern,toy
coll008,gkcrossstitch1.jpg,Cross-Stitch Wedding Commemoration,image/jpeg,1998,cross-stitch,"Fischer, Kathleen","A cross-stitched commemoration of the wedding of Jim and Sarah Arnold, with floral designs, the date, and the couple's names.",original,commemoration
coll009,gkcrossstitchplacement1.jpg,Cross-Stitch Floral Placemat,image/jpeg,2023,cross-stitch,"Fischer, Kathleen","A cross-stitched placemat with tulips, one of a set of four, given as an apartment-warming gift.",pattern,placemat
coll010,gkpillow1.jpg,Set of Quilted Pillows,image/jpeg,2017,quilting; hand-stitching,"Fischer, Kathleen","A pair of quilted pillows, with a hand-stitched tag. Made as a 16th birthday gift.",original,pillow
coll011,gkpillow2.jpg,Crewelwork Pillow,image/jpeg,1980,crewelwork,"Fischer, Kathleen",A crewelwork pillow with an imaginative floral pattern and a bird, given as an apartment-warming gift.,pattern,pillow
coll012,gkembroidery1.jpg,Cross-Stitched Birth Commemoration,image/jpeg,2005,cross-stitch,"Fischer, Kathleen",A cross-stitched commemoration of the birth of Ethan Arnold featuring a sleeping boy and floral elements.,pattern,commemoration
coll013,gkembroidery2.jpg,Cross-Stitched Birth Commemoration,image/jpeg,2001,cross-stitch,"Fischer, Kathleen",A cross-stitched commemoration of the birth of Julia Arnold featuring a baby and a bear.,pattern,commemoration
coll014,gktextile1.jpg,Mixed-Media Textile Birth Commemoration,image/jpeg,2006,mixed-media; hand-stitching,"Fischer, Kathleen",A mixed-media textile piece commemorating the birth of Matthew Arnold. Features a teddy bear in bed.,original,commemoration
coll015,sarahcrossstitch1.jpg,Small Floral Cross-Stitch,image/jpeg,2023,cross-stitch,"Arnold, Sarah","A small framed cross-stitch with a poppy, a cornflower, and grain. Given as an apartment-warming gift.",pattern,decor
coll016,sarahcrossstitch2.jpg,Abstract Floral Cross-Stitch,image/jpeg,2023,cross-stitch,"Arnold, Sarah","A cross-stitch with abstracted, brightly colored flowers on a black background. Given as an apartment-warming gift.",pattern,decor
coll017,sarah:sophiacrossstitchwip3.jpg,"Large Floral Cross-Stitch, Work in Progress",image/jpeg,2025,cross-stitch,"Arnold, Sarah/Arnold, Sophia","A large floral cross-stitch with a bee, still in the embroidery frame as it is a work in progress. Cross-stitched elements were completed by Sarah Arnold, and backstitching was completed by Sophia Arnold.",pattern,decor
coll018,sophiaembroidery1.jpg,Small Embroidered Bouquet ,image/jpeg,2025,embroidery,"Arnold, Sophia","A small, brightly colored floral bouquet, tied with ribbon in a circular frame. Made as a birthday gift.",pattern,decor
coll109,sophiaembroidery2.jpg,Embroidered Purple Hummingbird and Flowers,image/jpeg,2025,embroidery,"Arnold, Sophia",An embroidery with a purple hummingbird and flowers in a circular frame. Made as a Christmas gift.,pattern,decor
coll020,sophiaembroidery3.jpg,Embroidered Pink Hummingbird and Flowers,image/jpeg,2025,embroidery,"Arnold, Sophia",An embroidery with a pink hummingbird and flowers in a circular frame. Made as a Christmas gift.,pattern,decor
coll021,sophiaembroidery4.jpg,Embroidered Floral Scene,image/jpeg,2022,embroidery,"Arnold, Sophia",An embroidery with a variety of flowers on an oilve green background.,pattern,decor
coll022,sophiaembroidery5.jpg,Embroidered Floral Scene with Butterflies,image/jpeg,2022,embroidery,"Arnold, Sophia",An embroidery with roses and butterflies on a light green background.,pattern,decor
coll023,ggge:ggd:jatextile1.jpg,Jeans with Quilted Patch,image/jpeg,2020,quilting; hand-stitching; mixed-media,"Arnold, Julia",A pair of jeans with hand-stitched quilt patches. Quilt stars assembled by Elaine Dye.,original,clothing
col024,anonembroidery1.jpg,Small Embroidered Spring Bouquet,image/jpeg,1975,embroidery,unattributed,A small embroidery of a bouquet with daffodils and other spring flowers. A Jiffy Stitchery Sunset Designs pattern, number 212.,pattern,decor